,Attraction Name,Description,Category,Estimated Budget,Min_Budget,Max_Budget,Sentiment_Score,State
1295,Ajitgarh (Mohali),"Explore the modern urban landscape of Ajitgarh (Mohali), a bustling city known for its IT industry, educational institutions, and commercial developments, offering visitors a glimpse into Punjab's rapidly growing economy and urban lifestyle.",Urban Area,100 - 200,100.0,200.0,0.1779,Punjab
1296,Museum of Rural Life of Punjab,"Discover the rustic charm and agricultural heritage of Punjab at the Museum of Rural Life, a cultural institution showcasing traditional farming tools, implements, and artifacts, offering insights into the agrarian way of life in rural Punjab.",Museum,50 - 100,50.0,100.0,0.4019,Punjab
1297,Gurudwara Patalpuri Sahib,"Seek spiritual solace at Gurudwara Patalpuri Sahib, a revered Sikh shrine located within the precincts of the Golden Temple complex in Amritsar, offering devotees a sacred sanctuary for prayer, meditation, and spiritual contemplation.",Religious Site,Free,,,0.5859,Punjab
1298,Kartar Sarai,"Step into the pages of history at Kartar Sarai, a historic inn in Amritsar built by Maharaja Ranjit Singh to provide accommodation for pilgrims visiting the Golden Temple, offering a glimpse into Punjab's rich architectural heritage and cultural legacy.",Heritage Site,Free,,,0.5574,Punjab
1299,Gurudwara Baba Atal Sahib,"Pay homage to Baba Atal Sahib at Gurudwara Baba Atal Sahib, a sacred Sikh shrine located near the Golden Temple in Amritsar, dedicated to the memory of Baba Atal Rai, offering devotees a serene sanctuary for prayer, meditation, and spiritual reflection.",Religious Site,Free,,,0.7269,Punjab
1300,Rose Garden,"Experience the beauty of nature at Rose Garden, a vibrant botanical paradise in Ludhiana featuring thousands of colorful rose bushes, manicured lawns, and scenic pathways, perfect for leisurely walks, picnics, and romantic outings.",Garden,Free,,,0.9571,Punjab
1301,Gurudwara Shri Tarn Taran Sahib,"Seek spiritual solace at Gurudwara Shri Tarn Taran Sahib, a revered Sikh shrine located in Tarn Taran Sahib, offering devotees a sacred sanctuary for prayer, meditation, and spiritual contemplation amidst serene surroundings.",Religious Site,Free,,,0.7783,Punjab
1302,Gurudwara Shri Santokhsar Sahib,"Find inner peace and spiritual fulfillment at Gurudwara Shri Santokhsar Sahib, a sacred Sikh shrine located in Amritsar, offering devotees a serene sanctuary for prayer, meditation, and spiritual contemplation amidst tranquil surroundings.",Religious Site,Free,,,0.802,Punjab
1303,Anandpur Sahib,"Explore the spiritual and historical significance of Anandpur Sahib, a sacred city revered by Sikhs worldwide as the birthplace of the Khalsa Panth, featuring historic gurudwaras, cultural landmarks, and festivals celebrating Sikh heritage and traditions.",Religious Site,Free,,,0.891,Punjab
1304,Nawab Sher Muhammad Khan Institute of Advanced Studies,"Discover the academic excellence of Nawab Sher Muhammad Khan Institute of Advanced Studies, a prestigious educational institution in Amritsar offering postgraduate programs in various disciplines, research facilities, and cultural events.",Educational Institution,,,,0.7269,Punjab
1305,Gurudwara Bibeksar Sahib,"Seek spiritual solace at Gurudwara Bibeksar Sahib, a serene Sikh shrine located near the Golden Temple in Amritsar, offering devotees a tranquil sanctuary for prayer, meditation, and spiritual contemplation amidst serene surroundings.",Religious Site,Free,,,0.7717,Punjab
1306,Gurudwara Manji Sahib,"Experience spiritual bliss at Gurudwara Manji Sahib, a serene Sikh shrine located within the precincts of the Golden Temple complex in Amritsar, offering devotees a sacred sanctuary for prayer, meditation, and spiritual contemplation.",Religious Site,Free,,,0.802,Punjab
1307,Shahpur Kandi Fort,"Step into the pages of history at Shahpur Kandi Fort, an ancient fortress situated on the banks of the Ravi River, offering panoramic views, archaeological ruins, and insights into Punjab's rich heritage and cultural legacy.",Fortress,50 - 150,50.0,150.0,0.1779,Punjab
1308,Siswan Dam,"Escape to nature at Siswan Dam, a tranquil reservoir nestled amidst lush greenery and rolling hills, offering scenic views, birdwatching opportunities, and boating facilities for visitors seeking relaxation and outdoor recreation.",Dam,50 - 100,50.0,100.0,0.7845,Punjab
1309,Nehru Rose Garden,"Indulge your senses at Nehru Rose Garden, a sprawling botanical garden in Ludhiana adorned with thousands of rose bushes in vibrant hues, offering a delightful sensory experience, scenic beauty, and tranquil ambiance for visitors to enjoy.",Garden,50 - 100,50.0,100.0,0.9451,Punjab
1310,Kali Mata Mandir,"Pay homage to Goddess Kali at Kali Mata Mandir, a revered Hindu temple situated atop a hill in Patiala, offering panoramic views of the cityscape and a serene ambiance for spiritual seekers and devotees.",Religious Site,50 - 100,50.0,100.0,0.7506,Punjab
1311,Maharaja Ranjit Singh War Museum,"Honor the valor and sacrifice of Indian soldiers at the Maharaja Ranjit Singh War Museum, a comprehensive museum dedicated to showcasing Punjab's military history, featuring exhibits, artifacts, and memorials from various wars and conflicts.",Museum,50 - 150,50.0,150.0,-0.4404,Punjab
1312,Nalagarh Fort,"Step into the regal past of Nalagarh Fort, a majestic hilltop fortress overlooking the Shivalik range, featuring ornate architecture, sprawling gardens, and panoramic vistas, offering a glimpse into Punjab's royal heritage and architectural splendor.",Fortress,100 - 200,100.0,200.0,0.6124,Punjab
1313,Rajguru Market,"Explore the vibrant atmosphere of Rajguru Market, a bustling bazaar in Ludhiana brimming with colorful stalls, local vendors, and a myriad of goods ranging from clothing and accessories to handicrafts and street food, offering a quintessential shopping experience.",Market,50 - 100,50.0,100.0,0.5267,Punjab
1314,Chappar Chiri Memorial,"Pay tribute to the Sikh warriors at Chappar Chiri Memorial, a historic site commemorating the victory of the Sikh forces led by Baba Banda Singh Bahadur over the Mughal forces, featuring a towering victory pillar and panoramic views of the surrounding landscape.",Memorial,50 - 150,50.0,150.0,-0.1027,Punjab
1315,Gobindgarh Fort,"Step into the pages of history at Gobindgarh Fort, a majestic fortress steeped in Sikh heritage and colonial history, offering immersive experiences like sound and light shows, cultural performances, and historical exhibits.",Fortress,100 - 250,100.0,250.0,0.3612,Punjab
1316,Takhat Sri Kesgarh Sahib,"Seek spiritual solace at Takhat Sri Kesgarh Sahib, one of the five takhts (thrones) of Sikhism, a revered Sikh shrine located in Anandpur Sahib, offering devotees a sacred sanctuary for prayer, meditation, and spiritual contemplation.",Religious Site,Free,,,0.5859,Punjab
1317,Rose Garden,"Immerse yourself in the beauty of nature at Rose Garden, a sprawling botanical paradise in Chandigarh featuring thousands of colorful rose bushes, manicured lawns, and serene pathways, perfect for leisurely walks, picnics, and romantic outings.",Garden,Free,,,0.9545,Punjab
1318,Ranbir Ropar Wetland,"Discover the ecological diversity of Ranbir Ropar Wetland, a Ramsar site and important bird sanctuary in Punjab, home to a variety of migratory birds, aquatic species, and wetland habitats, offering opportunities for birdwatching and nature photography.",Nature Reserve,Free,,,0.5267,Punjab
1319,Mangarh Hill,"Embark on a spiritual journey to Mangarh Hill, a sacred pilgrimage site associated with Sant Baba Mangal Singh Ji Maharaj, revered for his spiritual teachings and divine grace, offering devotees a serene sanctuary for prayer, meditation, and introspection.",Religious Site,Free,,,0.9217,Punjab
1320,Nehru Planetarium,"Explore the wonders of the universe at Nehru Planetarium, a popular science center and planetarium in Ludhiana offering interactive exhibits, astronomy shows, and educational programs for visitors of all ages to learn about the cosmos and space exploration.",Science Museum,50 - 100,50.0,100.0,0.5719,Punjab
1321,Sheesh Mahal,"Step into the opulent world of Sheesh Mahal, a historic palace in Patiala renowned for its exquisite mirror work, frescoes, and architectural grandeur, offering visitors a glimpse into Punjab's royal heritage and artistic craftsmanship.",Palace,100 - 200,100.0,200.0,0.5267,Punjab
1322,Gurudwara Sri Guru Tegh Bahadur Sahib,"Seek spiritual solace at Gurudwara Sri Guru Tegh Bahadur Sahib, a revered Sikh shrine located in Anandpur Sahib, dedicated to the ninth Sikh Guru, Guru Tegh Bahadur Ji, offering devotees a tranquil sanctuary for prayer and meditation.",Religious Site,Free,,,0.7906,Punjab
1323,Devi Talab Mandir,"Seek blessings at Devi Talab Mandir, a revered Hindu temple dedicated to Goddess Durga, featuring a sacred pond and intricately carved shrines, attracting devotees and pilgrims from far and wide.",Religious Site,50 - 100,50.0,100.0,0.9246,Punjab
1324,Sukhna Wildlife Sanctuary,"Embark on a wildlife adventure at Sukhna Wildlife Sanctuary, a protected area in Chandigarh encompassing diverse habitats, including forests, grasslands, and wetlands, home to a variety of animal species, including deer, birds, and reptiles.",Wildlife Sanctuary,50 - 100,50.0,100.0,0.6369,Punjab
1325,Doraha Sarai,"Explore the architectural marvel of Doraha Sarai, a historic inn and Mughal-era monument located on the Grand Trunk Road, featuring intricate carvings, arched gateways, and sprawling courtyards, offering a glimpse into Punjab's rich heritage and cultural legacy.",Heritage Site,50 - 100,50.0,100.0,0.875,Punjab
1326,Nurpur Fort,"Step into the past at Nurpur Fort, a medieval fortress located in Pathankot, featuring ancient ramparts, watchtowers, and archaeological remains, offering visitors a glimpse into the region's rich history and architectural heritage.",Fortress,50 - 150,50.0,150.0,0.5574,Punjab
1327,Leisure Valley,"Escape to Leisure Valley, a sprawling green belt in Chandigarh comprising gardens, promenades, and recreational spaces, perfect for leisurely walks, picnics, and outdoor activities amidst lush greenery and scenic landscapes.",Park,Free,,,0.6597,Punjab
1328,Baradari Palace,"Experience royal hospitality at Baradari Palace, a majestic heritage hotel in Patiala featuring opulent accommodations, fine dining restaurants, and regal architecture amidst lush gardens and scenic vistas, perfect for a luxurious getaway.",Palace,200 - 300,200.0,300.0,0.6705,Punjab
1329,Punjab Public Library,"Indulge in literary delights at Punjab Public Library, a historic institution in Patiala housing a vast collection of books, manuscripts, and rare documents, offering readers and scholars access to valuable resources and educational materials.",Library,Free,,,0.7269,Punjab
1330,Gurudwara Baba Deep Singh Ji Shaheed,"Pay homage to Baba Deep Singh Ji Shaheed at Gurudwara Baba Deep Singh Ji Shaheed, a revered Sikh shrine located in Amritsar, dedicated to the memory of Baba Deep Singh Ji, offering devotees a sacred sanctuary for prayer and meditation.",Religious Site,Free,,,0.7506,Punjab
1331,Siswan Dam,"Escape to nature at Siswan Dam, a tranquil reservoir nestled amidst lush greenery and rolling hills, offering scenic views, birdwatching opportunities, and boating facilities for visitors seeking relaxation and outdoor recreation.",Dam,50 - 100,50.0,100.0,0.7845,Punjab
1332,Mansa Devi Temple,"Seek divine blessings at Mansa Devi Temple, a revered Hindu shrine dedicated to Goddess Mansa Devi, believed to fulfill the wishes of devotees who offer prayers and perform rituals at the temple, attracting pilgrims and spiritual seekers from far and wide.",Religious Site,50 - 100,50.0,100.0,0.9661,Punjab
1333,Haveli,"Experience Punjabi hospitality at Haveli, a traditional restaurant and cultural complex in Jalandhar offering authentic Punjabi cuisine, live music performances, and folk dance shows, providing visitors with a taste of Punjab's rich culinary and cultural heritage.",Restaurant,100 - 200,100.0,200.0,0.5574,Punjab
1334,Gurudwara Shri Baba Kaladhari Sahib,"Experience spiritual bliss at Gurudwara Shri Baba Kaladhari Sahib, a serene Sikh shrine located in Patiala, dedicated to the memory of Baba Kaladhari Ji, offering devotees a sacred sanctuary for prayer, meditation, and spiritual reflection.",Religious Site,Free,,,0.8807,Punjab
1335,Kapurthala City,"Explore the architectural elegance of Kapurthala City, often referred to as the Paris of Punjab featuring historic landmarks, palaces, and gardens designed by French architects offering visitors a glimpse into Punjab's royal heritage and cultural legacy.",Urban Area,100 - 200,100.0,200.0,0.4767,Punjab
1336,Ranjit Sagar Dam,"Marvel at the engineering marvel of Ranjit Sagar Dam, a colossal hydroelectric dam harnessing the power of the Ravi River, providing irrigation water, hydroelectricity, and scenic views for visitors to enjoy.",Dam,50 - 100,50.0,100.0,0.8316,Punjab
1337,Kali Devi Mandir,"Pay homage to Goddess Kali at Kali Devi Mandir, a revered Hindu temple located in Patiala, offering devotees a sacred sanctuary for prayer, meditation, and spiritual contemplation amidst serene surroundings.",Religious Site,50 - 100,50.0,100.0,0.7506,Punjab
1338,Kali Mata Mandir,"Seek blessings at Kali Mata Mandir, a revered Hindu temple dedicated to Goddess Kali, featuring intricate architecture, sacred rituals, and a serene ambiance for devotees to offer prayers and seek divine blessings.",Religious Site,50 - 100,50.0,100.0,0.9682,Punjab
1339,Punjab State War Heroes' Memorial & Museum,"Salute the bravery and sacrifice of Punjab's war heroes at the Punjab State War Heroes' Memorial & Museum, a poignant tribute to fallen soldiers showcasing military artifacts, memorials, and exhibits honoring their valor and courage.",Memorial,50 - 150,50.0,150.0,0.7184,Punjab
1340,Gurudwara Shri Guru Har Rai Sahib,"Seek spiritual solace at Gurudwara Shri Guru Har Rai Sahib, a serene Sikh shrine located in Patiala, dedicated to the seventh Sikh Guru, Guru Har Rai Sahib Ji, offering devotees a tranquil sanctuary for prayer and meditation.",Religious Site,Free,,,0.7717,Punjab
1341,Mughal Sarai,"Explore the architectural splendor of Mughal Sarai, a historic inn and caravan serai built during the Mughal era, featuring ornate archways, courtyard gardens, and intricate frescoes, offering visitors a glimpse into Punjab's rich heritage and cultural legacy.",Heritage Site,50 - 100,50.0,100.0,0.8481,Punjab
1342,Sun City,"Indulge in fun and entertainment at Sun City, a popular amusement park in Ludhiana featuring thrilling rides, water slides, and recreational attractions for visitors of all ages, offering excitement and adventure amidst vibrant surroundings.",Theme Park,100 - 200,100.0,200.0,0.9756,Punjab
1343,Gurdwara Baba Budha Sahib Ji,"Pay homage to Baba Budha Sahib Ji at Gurdwara Baba Budha Sahib Ji, a revered Sikh shrine located in Ropar, dedicated to the memory of Baba Budha Ji, offering devotees a sacred sanctuary for prayer, meditation, and spiritual reflection.",Religious Site,Free,,,0.7506,Punjab
1344,Gurudwara Shri Damdama Sahib,"Seek spiritual solace at Gurudwara Shri Damdama Sahib, a serene Sikh shrine located in Bathinda, offering devotees a tranquil sanctuary for prayer, meditation, and spiritual contemplation amidst serene surroundings.",Religious Site,Free,,,0.7717,Punjab
1345,Panj Tirath,"Explore the ancient heritage of Panj Tirath, a historic site in Multan, Pakistan, featuring sacred ponds, temples, and shrines dedicated to Hindu deities, offering insights into the region's cultural and religious diversity.",Historical Site,50 - 100,50.0,100.0,0.4588,Punjab
1346,Gurudwara Sahib Patshahi Dasvi,"Experience spiritual bliss at Gurudwara Sahib Patshahi Dasvi, a serene Sikh shrine located in Faridkot, dedicated to the tenth Sikh Guru, Guru Gobind Singh Ji, offering devotees a sacred sanctuary for prayer, meditation, and spiritual reflection.",Religious Site,Free,,,0.8807,Punjab
1347,Anandpur Sahib,"Explore the spiritual and historical significance of Anandpur Sahib, a sacred city revered by Sikhs worldwide as the birthplace of the Khalsa Panth, featuring historic gurudwaras, cultural landmarks, and festivals celebrating Sikh heritage and traditions.",Religious Site,Free,,,0.891,Punjab
1348,Bathinda Lake,"Embrace the scenic beauty of Bathinda Lake, a picturesque reservoir surrounded by lush greenery and walking trails, offering panoramic views, boating facilities, and a tranquil ambiance for visitors to unwind and relax.",Lake,50 - 100,50.0,100.0,0.8957,Punjab
1349,Jallianwala Bagh,"Pay homage to the martyrs of the Jallianwala Bagh massacre at Jallianwala Bagh, a historic public garden in Amritsar featuring a memorial plaque, eternal flame, and bullet marks on the walls, serving as a somber reminder of India's struggle for independence.",Memorial,Free,,,-0.6705,Punjab
1350,Rose Garden,"Bask in the beauty of nature at Rose Garden, a vibrant botanical paradise in Ludhiana featuring thousands of colorful rose bushes, manicured lawns, and scenic landscapes, perfect for leisurely walks, picnics, and romantic outings.",Garden,Free,,,0.9571,Punjab
1351,Gurudwara Sri Manji Sahib,"Experience spiritual bliss at Gurudwara Sri Manji Sahib, a serene Sikh shrine located in Amritsar, offering devotees a tranquil sanctuary for prayer, meditation, and spiritual contemplation amidst serene surroundings.",Religious Site,Free,,,0.886,Punjab
1352,Kali Devi Mandir,"Seek blessings at Kali Devi Mandir, a revered Hindu temple dedicated to Goddess Kali, featuring intricate architecture, sacred rituals, and a serene ambiance for devotees to offer prayers and seek divine blessings.",Religious Site,50 - 100,50.0,100.0,0.9682,Punjab
1353,Sarai Amanat Khan,"Step into the past at Sarai Amanat Khan, a historic inn and Mughal-era monument located on the Grand Trunk Road, featuring intricate carvings, arched gateways, and sprawling courtyards, offering a glimpse into Punjab's rich heritage and cultural legacy.",Heritage Site,50 - 100,50.0,100.0,0.802,Punjab
1354,Gurudwara Chheharta Sahib,"Seek spiritual solace at Gurudwara Chheharta Sahib, a revered Sikh shrine located in Amritsar, dedicated to the memory of Guru Hargobind Sahib Ji, offering devotees a tranquil sanctuary for prayer, meditation, and spiritual reflection.",Religious Site,Free,,,0.7906,Punjab
1355,Bhuri Wale Ka Mela,"Experience the vibrant atmosphere of Bhuri Wale Ka Mela, a popular fair held in Talwandi Sabo, attracting devotees, pilgrims, and visitors from far and wide to participate in religious rituals, cultural performances, and festive celebrations.",Fair,Free,,,0.9337,Punjab
1356,Dhruv Pandove Cricket Stadium,"Catch a thrilling cricket match at Dhruv Pandove Cricket Stadium, a premier sports venue in Patiala hosting domestic and regional cricket tournaments, featuring state-of-the-art facilities and a lively atmosphere for sports enthusiasts and spectators.",Sports Stadium,50 - 100,50.0,100.0,0.8126,Punjab
1357,Shri Durgiana Tirath,"Seek divine blessings at Shri Durgiana Tirath a revered Hindu temple dedicated to Goddess Durga located in Amritsar and often referred to as the Silver Temple"" featuring sacred rituals religious ceremonies and a serene ambiance for devotees.""",Religious Site,Free,,,0.9468,Punjab
1358,Rakh Bagh Park,"Relax and rejuvenate at Rakh Bagh Park, a sprawling urban park in Ludhiana featuring lush greenery, jogging tracks, and recreational facilities, perfect for picnics, leisurely walks, and outdoor activities for the whole family.",Park,Free,,,0.765,Punjab
1359,Mansa Devi Temple,"Seek divine blessings at Mansa Devi Temple, a revered Hindu shrine dedicated to Goddess Mansa Devi, believed to fulfill the wishes of devotees who offer prayers and perform rituals at the temple, attracting pilgrims and spiritual seekers from far and wide.",Religious Site,50 - 100,50.0,100.0,0.9661,Punjab
1360,Gurudwara Guru Ka Mahal,"Experience spiritual tranquility at Gurudwara Guru Ka Mahal, a historic Sikh shrine in Amritsar associated with Guru Tegh Bahadur Ji, offering devotees a serene sanctuary for prayer, meditation, and spiritual reflection amidst peaceful surroundings.",Religious Site,Free,,,0.8591,Punjab
1361,Jal Mahal,"Marvel at the architectural beauty of Jal Mahal, a historic palace situated in Kapurthala, surrounded by a picturesque lake, lush gardens, and intricate architectural details, offering visitors a glimpse into Punjab's royal heritage and cultural legacy.",Palace,100 - 200,100.0,200.0,0.8689,Punjab
1362,Devi Talab Mandir,"Seek blessings at Devi Talab Mandir, a revered Hindu temple dedicated to Goddess Durga, featuring a sacred pond and intricately carved shrines, attracting devotees and pilgrims from far and wide.",Religious Site,50 - 100,50.0,100.0,0.9246,Punjab
1363,Nada Sahib Gurudwara,"Seek spiritual solace at Nada Sahib Gurudwara, a revered Sikh shrine located in Panchkula, dedicated to Guru Gobind Singh Ji, offering devotees a tranquil sanctuary for prayer, meditation, and spiritual contemplation amidst serene surroundings.",Religious Site,Free,,,0.875,Punjab
1364,Maharaja Ranjit Singh Panorama,"Immerse yourself in history at Maharaja Ranjit Singh Panorama, a museum in Amritsar dedicated to the life and legacy of Maharaja Ranjit Singh, featuring exhibits, dioramas, and multimedia presentations showcasing his achievements and contributions.",Museum,50 - 100,50.0,100.0,0.4588,Punjab
1365,Bir Moti Bagh Wildlife Sanctuary,"Embark on a wildlife adventure at Bir Moti Bagh Wildlife Sanctuary, a protected area in Patiala district encompassing diverse habitats, including forests, grasslands, and wetlands, home to a variety of plant and animal species.",Wildlife Sanctuary,50 - 100,50.0,100.0,0.6369,Punjab
1366,Azaad Market,"Explore the vibrant atmosphere of Azaad Market, a bustling bazaar in Amritsar brimming with colorful stalls, local vendors, and a myriad of goods ranging from clothing and accessories to handicrafts and souvenirs, offering a quintessential shopping experience.",Market,50 - 100,50.0,100.0,0.5267,Punjab
1367,Gurudwara Shri Guru Singh Sabha,"Seek spiritual solace at Gurudwara Shri Guru Singh Sabha, a serene Sikh shrine located in Jalandhar, dedicated to Guru Gobind Singh Ji, offering devotees a tranquil sanctuary for prayer, meditation, and spiritual reflection.",Religious Site,Free,,,0.7717,Punjab
1368,Wonderland Theme Park,"Embark on a thrilling adventure at Wonderland Theme Park, a popular amusement park in Jalandhar featuring exciting rides, water slides, and entertainment attractions for visitors of all ages to enjoy.",Theme Park,200 - 300,200.0,300.0,0.967,Punjab
1369,Bathinda Fort,"Explore the historic ruins of Bathinda Fort, an ancient fortress dating back to the Kushan period, featuring archaeological remains, ramparts, and underground chambers, offering visitors a glimpse into Punjab's rich history and cultural heritage.",Fortress,50 - 150,50.0,150.0,0.1779,Punjab
1370,Tarn Taran Sahib,"Seek spiritual solace at Tarn Taran Sahib, a revered Sikh shrine located in Tarn Taran Sahib, offering devotees a sacred sanctuary for prayer, meditation, and spiritual contemplation amidst serene surroundings.",Religious Site,Free,,,0.7783,Punjab
1371,Bir Moti Bagh Palace,"Experience the grandeur of Bir Moti Bagh Palace, a historic royal residence in Patiala featuring magnificent architecture, opulent interiors, and sprawling gardens, offering visitors a glimpse into Punjab's royal heritage and architectural splendor.",Palace,100 - 200,100.0,200.0,0.9062,Punjab
1372,Gurudwara Shri Guru Ravidass Janam Asthan,"Pay homage to the revered saint Guru Ravidass at Gurudwara Shri Guru Ravidass Janam Asthan, a sacred pilgrimage site marking the birthplace of Guru Ravidass, featuring a grand temple, holy shrine, and spiritual ambiance for devotees and followers.",Religious Site,Free,,,0.7506,Punjab
1373,Gurudwara Shri Manji Sahib,"Experience spiritual bliss at Gurudwara Shri Manji Sahib, a serene Sikh shrine located within the precincts of the Golden Temple complex in Amritsar, offering devotees a sacred sanctuary for prayer, meditation, and spiritual contemplation.",Religious Site,Free,,,0.802,Punjab
1374,Le Corbusier Centre,"Explore the architectural legacy of Le Corbusier at Le Corbusier Centre, a museum in Chandigarh dedicated to the renowned Swiss-French architect, featuring exhibits, models, and multimedia presentations showcasing his contributions to urban planning and design.",Museum,50 - 100,50.0,100.0,0.4588,Punjab
1375,Rangla Punjab Haveli,"Immerse yourself in Punjabi culture at Rangla Punjab Haveli, a cultural complex in Jalandhar offering folk dance performances, live music, and traditional Punjabi cuisine, providing visitors with an authentic cultural experience.",Cultural Center,100 - 200,100.0,200.0,0.0,Punjab
1376,Gurudwara Ber Sahib,"Seek spiritual solace at Gurudwara Ber Sahib, a revered Sikh shrine located in Sultanpur Lodhi, associated with Guru Nanak Dev Ji, offering devotees a serene sanctuary for prayer, meditation, and spiritual reflection.",Religious Site,Free,,,0.7783,Punjab
1377,Mangarh Hill,"Embark on a spiritual journey to Mangarh Hill, a sacred pilgrimage site associated with Sant Baba Mangal Singh Ji Maharaj, revered for his spiritual teachings and divine grace, offering devotees a serene sanctuary for prayer, meditation, and introspection.",Religious Site,Free,,,0.9217,Punjab
1378,Nehru Rose Garden,"Indulge your senses at Nehru Rose Garden, a sprawling botanical garden in Ludhiana adorned with thousands of rose bushes in vibrant hues, offering a delightful sensory experience, scenic beauty, and tranquil ambiance for visitors to enjoy.",Garden,50 - 100,50.0,100.0,0.9451,Punjab
1379,Bhakra Nangal Dam,"Marvel at the engineering marvel of Bhakra Nangal Dam, one of the largest gravity dams in the world, harnessing the waters of the Sutlej River to generate hydroelectricity, provide irrigation, and ensure flood control for the region.",Dam,50 - 100,50.0,100.0,0.802,Punjab
1380,Gurudwara Dukhniwaran Sahib,"Find solace and healing at Gurudwara Dukhniwaran Sahib, a sacred Sikh shrine revered for its miraculous powers of healing and divine blessings, attracting devotees and seekers of spiritual solace from far and wide.",Religious Site,Free,,,0.9325,Punjab
1381,Shri Guru Ravidass Janam Asthan,"Pay homage to the revered saint Guru Ravidass at Shri Guru Ravidass Janam Asthan, a sacred pilgrimage site marking the birthplace of Guru Ravidass, featuring a grand temple, holy shrine, and spiritual ambiance for devotees and followers.",Religious Site,Free,,,0.7506,Punjab
1382,Gurudwara Shri Manji Sahib,"Experience spiritual bliss at Gurudwara Shri Manji Sahib, a serene Sikh shrine located in the heart of Ludhiana, offering devotees a sacred sanctuary for prayer, meditation, and spiritual reflection amidst serene surroundings.",Religious Site,Free,,,0.8807,Punjab
1383,Wagah Border,"Witness the patriotic fervor at Wagah Border, the international border between India and Pakistan, where the Beating Retreat ceremony is held every evening with grandeur and enthusiasm, symbolizing the unity and pride of the nations.",Border Crossing,Free,,,0.7579,Punjab
1384,Bhakra Dam,"Marvel at the architectural wonder of Bhakra Dam, one of the highest gravity dams in the world, built across the Sutlej River, providing hydroelectricity, irrigation, and flood control to the region.",Dam,50 - 100,50.0,100.0,0.4215,Punjab
1385,Rashtriya Kisan Mandi,"Experience the hustle and bustle of Rashtriya Kisan Mandi, a vibrant agricultural market in Amritsar where farmers and traders converge to buy and sell fresh produce, grains, and livestock, showcasing the agricultural richness of Punjab.",Market,50 - 100,50.0,100.0,0.836,Punjab
1386,Gurudwara Nanaksar Thath Isher Darbar,"Seek spiritual solace at Gurudwara Nanaksar Thath Isher Darbar, a serene Sikh shrine located in Jagraon, offering devotees a tranquil sanctuary for prayer, meditation, and spiritual reflection amidst serene surroundings.",Religious Site,Free,,,0.7717,Punjab
1387,Fateh Burj,"Marvel at the tallest victory tower in India, Fateh Burj, located in Mohali, commemorating the historic victory of the Sikhs over the Mughals, offering panoramic views of the surrounding landscape and a symbol of Punjab's martial heritage.",Monument,Free,,,0.4215,Punjab
1388,Amber Fort,Explore the majestic Amber Fort a UNESCO World Heritage Site known for its stunning architecture intricate carvings and panoramic views of the surrounding landscape. Immerse yourself in the rich history of the Rajput kings as you wander through the elaborate courtyards palaces and gardens.,Historical Landmark,200 - 400/- per person,200,400.0,0.7783,Rajasthan
1389,Hawa Mahal,"Admire the iconic Hawa Mahal also known as the """"Palace of Winds"""" with its unique pink sandstone facade and intricate latticework. Learn about its fascinating history and architectural significance as you take in the breathtaking views from its numerous windows and balconies.",Cultural & Heritage,100 - 200/- per person,100,200.0,0.9062,Rajasthan
1390,Jaisalmer Fort,Step back in time as you explore the magnificent Jaisalmer Fort rising majestically from the golden sands of the Thar Desert. Marvel at its imposing walls intricately carved Jain temples and ancient havelis while soaking in the vibrant atmosphere of this living fort.,Historical Landmark,300 - 500/- per person,300,500.0,0.8658,Rajasthan
1391,Ranthambore National Park,Embark on an unforgettable wildlife safari through Ranthambore National Park home to the elusive Bengal tiger and a diverse array of flora and fauna. Experience the thrill of spotting these majestic creatures in their natural habitat amidst the rugged terrain and ancient ruins.,Nature & Wildlife,500 - 1000/- per person,500,1000.0,0.2732,Rajasthan
1392,City Palace Jaipur,Step into the opulent world of the City Palace Jaipur a splendid blend of Rajput and Mughal architecture. Explore its ornate courtyards museums and gardens while marveling at the exquisite craftsmanship and royal artifacts that showcase the rich heritage of Rajasthan.,Cultural & Heritage,250 - 450/- per person,250,450.0,0.8126,Rajasthan
1393,Jantar Mantar Jaipur,Delve into the world of astronomy at Jantar Mantar Jaipur an intriguing collection of astronomical instruments built by Maharaja Jai Singh II. Marvel at the precision and ingenuity of these ancient instruments as you learn about their role in timekeeping and celestial observation.,Historical Landmark,150 - 300/- per person,150,300.0,0.4215,Rajasthan
1394,Pushkar Lake,Experience spiritual serenity at Pushkar Lake one of the holiest lakes in India. Take a dip in its sacred waters and visit the numerous ghats and temples that surround the lake including the famous Brahma Temple as you immerse yourself in the religious fervor of this ancient pilgrimage site.,Spiritual & Religious,50 - 100/- per person,50,100.0,0.0,Rajasthan
1395,Udaipur City Palace,Indulge in the grandeur of Udaipur City Palace a sprawling complex of palaces courtyards and gardens overlooking the picturesque Lake Pichola. Admire the intricate architecture royal artifacts and stunning views of the lake and surrounding hills as you delve into the royal legacy of the Mewar dynasty.,Cultural & Heritage,300 - 600/- per person,300,600.0,0.9062,Rajasthan
1396,Mehrangarh Fort,"Uncover the history and grandeur of Mehrangarh Fort one of the largest forts in India perched atop a rocky hill in Jodhpur. Explore its palaces museums and expansive courtyards while enjoying panoramic views of the ""Blue City"" below and witness the fort's imposing walls that have withstood centuries of battles and sieges.",Historical Landmark,250 - 450/- per person,250,450.0,0.5859,Rajasthan
